ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
2.0448457083969196e+38	93.552	17.652439024390244	51.02235772357724	38.916666666666664	0.18409138260570002	39	1854	273	53.0	332.0	248.0	7	2.0	2.0	1.0	0	0	0.10048270225524902	20000	8.038105010986328	
1.2941395977759838	101.002	19.666666666666668	61.079268292682926	46.59146341463415	0.18409138260570002	40	1863	398	60.0	348.0	262.0	13	2.0	2.0	1.0	0	0	0.1198265552520752	20500	8.157931566238403	
inf	105.812	20.249484536082473	63.49896907216495	48.3979381443299	0.18409138260570002	41	1879	420	62.0	421.0	323.0	12	2.0	2.0	1.0	0	0	0.12085533142089844	21000	8.278786897659302	
0.8213716836048376	107.046	21.039014373716633	65.01232032854209	49.68993839835729	0.18409138260570002	42	1892	353	62.0	320.0	242.0	11	2.0	2.0	1.0	0	0	0.12428975105285645	21500	8.403076648712158	
0.8528845757159591	111.66	21.1840490797546	67.32515337423312	51.32106339468303	0.18409138260570002	43	1903	308	60.0	316.0	237.0	9	2.0	2.0	1.0	0	0	0.12943792343139648	22000	8.532514572143555	
1.189502280381773	113.984	20.440162271805274	67.4158215010142	51.32048681541582	0.18409138260570002	44	1911	375	73.0	440.0	329.0	22	2.0	2.0	1.0	0	0	0.12871432304382324	22500	8.661228895187378	
0.8213551539440938	126.094	22.212058212058214	79.38461538461539	60.27858627858628	0.18409138260570002	45	1931	466	77.0	496.0	372.0	19	2.0	2.0	1.0	0	0	0.16576862335205078	23000	8.826997518539429	
71122639698.58864	127.642	22.22037422037422	78.6029106029106	59.91268191268191	0.18409138260570002	46	1951	461	77.0	460.0	346.0	13	2.0	2.0	1.0	0	0	0.1461181640625	23500	8.973115682601929	
0.687206657368833	144.284	24.960084033613445	94.35084033613445	72.07352941176471	0.18409138260570002	47	1976	461	83.0	485.0	375.0	11	2.0	2.0	1.0	0	0	0.17029571533203125	24000	9.14341139793396	
0.7965734822113807	156.198	25.482105263157894	96.98526315789474	74.46105263157895	0.18409138260570002	48	2002	538	81.0	541.0	409.0	21	2.0	2.0	1.0	0	0	0.17687225341796875	24500	9.320283651351929	
0.41367962959957333	161.258	28.49576271186441	113.88983050847457	87.47457627118644	0.18409138260570002	49	2031	597	80.0	689.0	531.0	12	2.0	2.0	1.0	0	0	0.20194149017333984	25000	9.522225141525269	
0.48857850309154055	166.736	28.877682403433475	114.40343347639485	87.85407725321889	0.18409138260570002	50	2066	597	86.0	628.0	478.0	13	2.0	2.0	1.0	0	0	0.20148086547851562	25500	9.723706007003784	
inf	24.95	6.514	23.426	16.806	0.20228520614749962	50	2066	133	10	124	89	3	3	3	2	0	0	0.22939109802246094	25500	9.953097105026245	
9.583469704510437e+87	23.22	8.507575757575758	18.641414141414142	13.517676767676768	0.19966161453702197	1	2171	94	26.0	90.0	62.0	2	2.0	2.0	1.0	0	0	0.04157614707946777	1000	9.994673252105713	
inf	23.152	7.322195704057279	14.618138424821002	10.558472553699284	0.19691677101740196	2	2253	82	21.0	68.0	49.0	1	2.0	2.0	1.0	0	0	0.034891605377197266	1500	10.02956485748291	
inf	26.514	7.511261261261262	14.8490990990991	10.792792792792794	0.1962406608919957	3	2310	87	25.0	62.0	47.0	3	2.0	2.0	1.0	0	0	0.03574538230895996	2000	10.06531023979187	
1.4426433630161648	26.794	7.502202643171806	14.224669603524228	10.411894273127754	0.18872995666976555	4	2357	86	22.0	83.0	58.0	3	2.0	2.0	1.0	0	0	0.03570127487182617	2500	10.101011514663696	
